Time,CO94,CO92,CO91,CO44,CO42,CO41,E94,E92,E91,E44,E42,E41,C4,C2,C1
0,3.662757832,2.176091259,0.22184875,3.62324929,2.243038049,1.124938737,8.45484486,8.574031268,8.591064607,3.607455023,3.658011397,3.653212514,3.662757832,2.255272505,1.263241435
0,4.079181246,2.477121255,1.522878745,3.707570176,2.414973348,1.06694679,8.562292864,8.579783597,8.477121255,3.574031268,3.716003344,3.69019608,4,2.462397998,1.301029996
0,3.851258349,2.146128036,1.452297671,4.051152522,2.255272505,1.500602351,8.550228353,8.612783857,8.612783857,3.72427587,3.531478917,3.711807229,4.070037867,2.290034611,1.335792102
6,3.423245874,1.698970004,0.698970004,4.11058971,2.829303773,1.84509804,9.105510185,9.131939295,9.117271296,6.984527313,7.084576278,7.213517757,5.08278537,2.711807229,2
6,3.67669361,1.176091259,1.602059991,4.204119983,3.174641193,2.113943352,9.127104798,9.164352856,9.149219113,7.611723308,7.5774918,7.609594409,4.968482949,2.62838893,2.431363764
6,3.498310554,1.698970004,0.698970004,4.193124598,2.949390007,1.977723605,9.123851641,9.133538908,9.195899652,7.618048097,7.596597096,7.622214023,4.698970004,3.041392685,3.267171728
12,4.236789099,1.977723605,1.176091259,5.322219295,3.230448921,3.45484486,9.100370545,9.079181246,9.123851641,9.053078443,9.053078443,9,5.190331698,3.311753861,3.612783857
12,2.977723605,1.653212514,1.176091259,5.8162413,3.096910013,2.77815125,9.162862993,9.084576278,9.11058971,9.039414119,9.017033339,9,6.399673721,4.479287316,3.67669361
12,3.838849091,3.190331698,0.698970004,5.51851394,2.84509804,2.544068044,9.130333768,9.1430148,9.102090526,9.053078443,8.970811611,9.07371835,6.235528447,4.238046103,3.322219295
24,4.217483944,2.698970004,0,6.113943352,4.397940009,2.544068044,9.066325925,9.066325925,9.039414119,9.025305865,9.053078443,9.010723865,7.190331698,5.267171728,4.397940009
24,5.480725379,4.913813852,2.255272505,7.489255168,5.561101384,5.053078443,9.077367905,9.102090526,9.08278537,9.021189299,9.035429738,9.027349608,8.431363764,6.548389418,5.51851394
24,5.39707055,4.648360011,2.301029996,7.562292864,5.725911632,4.997823081,8.99343623,9.098643726,9.07371835,9.058805487,9.017033339,9.098643726,8.344392274,6.542825427,6.118925753
36,3.462397998,1.875061263,0,4.975431809,3.176091259,2.477121255,9.170261715,9.084576278,9.071882007,9.035429738,9.08278537,9.07371835,7.079181246,6.740362689,5.477121255
36,5.364550995,3.397940009,3.084576278,6.574031268,5.397940009,3.146128036,8.954242509,8.880813592,9.006466042,9.093421685,9.071882007,9.008600172,8.674401813,8.209515015,7.525044807
36,4.989004616,3.301029996,1.698970004,6.311753861,5.301029996,4.45484486,8.980003372,9,9.122215878,9.01911629,9.07371835,9.017033339,8.479287316,8.227886705,7.832508913
48,2.462397998,1,0,4.021189299,2.785329835,1.602059991,8.997823081,8.956648579,8.956648579,8.934498451,8.916453949,8.866287339,8.252853031,7.562292864,6.929418926
48,4.58546073,3.812913357,1,4.755874856,4.550228353,3.260071388,9.056904851,8.86332286,8.880813592,8.913813852,8.84509804,8.736396502,8.089905111,7.322219295,8.369215857
48,5.477121255,2.698970004,0,4.484299839,3,2.698970004,8.908485019,8.942008053,8.875061263,8.889301703,8.924279286,8.792391689,8.206825876,8.18610838,7.829303773
60,1.812913357,0.698970004,0,3.477121255,2.041392685,0,9.127104798,9.033423755,9.045322979,8.986771734,9.11058971,9.089905111,8.131939295,7.812913357,7.698970004
60,4.618048097,5.698970004,1.301029996,5.77815125,5.170261715,6.380211242,8.883661435,8.854306042,8.956648579,8.835690571,8.812913357,9.031408464,8.325310372,8.341434525,8.361727836
60,6.685741739,4.826074803,0,5.977723605,4.919078092,3,8.866287339,8.829303773,8.759667845,8.961421094,8.903089987,8.944482672,8.202760687,8.149219113,8.249198357
72,1.544068044,0,0,3.405687787,1.301029996,0,9.252853031,9.138302698,9.127104798,9.235528447,9.220108088,9.193124598,7.62324929,8.053078443,8.096910013
72,3.875061263,4.829303773,2.130333768,5.477121255,5.903089987,4.176091259,8.982271233,8.963787827,9.338456494,8.875061263,8.956648579,9.135132651,7.973127854,8.027349608,6.602059991
72,6.975431809,5.812913357,3.301029996,6.781755375,5.178976947,3.84509804,8.838849091,8.866287339,8.942008053,8.956648579,9.002166062,9.07371835,7.963787827,7.802773725,8.095169351
