Time,CO94,CO92,CO91,CO44,CO42,CO41,E94,E92,E91,E44,E42,E41,C04,C02,C01
0,3.980003372,1.812913357,0.522878745,3.997823081,2.230448921,0.698970004,8.877941458,8.80617993,8.774516963,4.008600172,3.936010796,3.871864702,3.942008053,1.929418926,0.698970004
0,3.788875116,1.176091259,0.823908741,3.959041392,3.035429738,1.301029996,8.690190629,8.648359996,8.681241231,3.759667845,3.61436984,3.765668555,3.980003372,2.06069784,0.920818754
0,3.752048448,1.397940009,0.698970004,3.963787827,2.829303773,1.397940009,8.755870551,8.662757808,8.703291374,3.544068044,3.734399743,3.701136066,3.872156273,1.977723605,0.823908741
6,4.498310554,2.176091259,1.176091259,7.477121255,6.706717782,5.567026366,9.212179212,9.082785316,9.107209965,8.702430536,8.476990947,8.555857121,5.84509804,5.176091259,4.217483944
6,4.130333768,1.397940009,0.698970004,7.698970004,6.301029996,4.740362689,9.041387355,9.118925745,9.056904849,8.866287339,8.411619706,8.59653662,7.710963119,6.710117365,5.515873844
6,4.146128036,1.698970004,0,8.217483944,6.414973348,5.694605199,9.039408567,9.053078424,9.084576278,8.84509804,8.630834518,8.497627554,8.632457292,7.216165902,6.290034611
12,5.653212514,2.740362689,0,8.997823081,7.602059991,6.716003344,9.167184367,9.064457783,9.031408464,8.278753601,9.066325925,9.107142106,8.021189299,8.146128036,8.311753861
12,4.835690571,2.342422681,0.698970004,8.919078092,7.544068044,6.498310554,9.089880924,9.071881926,9.066325923,8.662757832,9.071882007,9.15437832,9.138302698,9.15075644,9.103803721
12,4.822821645,3.071882007,0.698970004,8.956648579,7.602059991,6.176091259,9.073693978,9.066325485,9.070037865,8.439332694,9.075546961,9.078638038,8.900367129,8.973127854,9.112269768
24,8.431363764,2.544068044,0.698970004,9.006466042,8.06069784,7.247973266,8.991226076,9.108903009,9.11561051,8.829303773,9.049218023,9.042299807,8.986771734,9.202760687,9.130333768
24,6.190331698,1.602059991,1.176091259,9.064457989,8.819543936,7.397940009,9.120063665,9.120573918,9.120573926,8.681241237,8.806179974,9.120573931,9.068185862,9.091666958,9.043362278
24,6.096910013,1.301029996,2.06069784,9.031408464,8.848189117,7,9.028876128,9.066325918,9.127104761,8.447158031,8.748188027,9.149219113,9.100370545,9.08278537,9.043362278
36,7.517195898,2.937016107,0.698970004,8.942008053,8.190331698,8.146128036,8.922777342,9.031408115,8.848189114,8.371067862,8.748188027,8.838849091,9.080987047,9.170261715,9.11058971
36,7.812913357,1.477121255,1.301029996,8.908485019,9.008600172,8.021189299,9.047274867,9.077367894,9.086359824,9.054995862,8.838849091,9.100370545,9.241795431,9.146128036,9.122215878
36,7.740362689,2.021189299,1.698970004,9.064457989,8.954242509,8.130333768,9.025305865,9.043362237,8.913813826,8.806179974,8.736396502,9.11058971,9.01911629,9.152288344,9.113943352
48,7.77815125,1.602059991,0,8.946943271,8.58546073,8.69019608,8.851258349,8.79587999,8.806179974,8.744292983,8.45484486,8,9.10720997,9.240549248,9.28780173
48,7.977723605,1.740362689,1.602059991,9.021189299,8.913813852,8.67669361,9.053078443,8.900367099,9.006466025,9,9.047274867,9.045322979,9.329397879,9.068185862,9.244277121
48,7.929418926,1.77815125,2.556302501,8.949390007,9.041392685,8.752048448,9.096910013,8.946943241,8.954242336,8.986771734,8.883661435,9.07371835,9.204119983,9.10720997,9.191730393
60,8.041392685,1.903089987,0,8.968482949,8.77815125,8.556302501,8.944482672,8.869231673,8.826074803,8.230448921,8,8.591064607,9.229169703,9.220108088,9.159867847
60,8.021189299,2.230448921,1.477121255,9.021189299,8.956648579,8.505149978,8.995635195,8.977723528,8.889301686,8.812913357,8.752048448,8.946943271,9.240549248,9.161368002,9.125481266
60,8.217483944,2.021189299,0.698970004,9.01494035,8.939519253,8.612783857,8.966141733,8.924279232,8.954242507,8.505149978,8.462397998,8.975431809,9.135132651,9.077367905,9.01494035
72,8.161368002,1.977723605,0.698970004,8.973127854,8.989004616,8.755874856,8.618048097,8.819543873,8.880813589,7.903089987,7.397940009,8.77815125,9.212187604,9.238046103,9.135132651
72,8.021189299,1.812913357,1.653212514,9.004321374,8.961421094,8.720159303,8.916453949,9.008600144,9.045322961,8.829303773,8.785329835,9.058805487,9.025305865,9.210853365,9.191730393
72,8.255272505,1.602059991,1.84509804,9.037426498,8.99343623,8.591064607,8.991226076,8.973127835,8.970811578,8.835690571,8.568201724,9.084576278,9.053078443,9.051152522,9.058805487
